Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow Bytes/s,Flow Packets/s,Destination Port,Average Packet Size,SYN Flag Count,Label
2.427,10,9,329,1035,472.36,10.32,53,78.55,2,BENIGN
0.0124,1,0,69,0,6030.09,615.86,45170,78,1,PortScan
0.857,5,5,1142,1211,1737.4,5.23,443,152.04,2,BENIGN
1.415,5,5,257,715,661.73,12.02,53,99.12,2,BENIGN
1.671,7,9,789,1447,1966.3,5.89,443,79.8,1,BENIGN
0.322,7,6,809,207,1526.67,13.53,80,62.91,0,BENIGN
1.919,4,12,716,911,1323.87,11.59,80,161.87,1,BENIGN
179.87,5,6,209,361,9.88,0.544,443,113.91,0,Bot
1.882,3,2,1360,509,1212.25,19.18,53,63.06,0,BENIGN
0.597,10,6,936,471,1325.72,14.11,443,166.42,2,BENIGN
0.053,239,3,89084,497,126619.62,4106.69,443,854.54,8,DDoS
0.419,3,7,1060,453,1253.92,16.14,443,102.8,1,BENIGN
0.0447,1,0,45,0,10754.08,652.1,24377,53,1,PortScan
1.262,12,12,1298,1161,1102.64,12.49,80,162.9,1,BENIGN
0.0397,1,0,41,0,10983.19,741.12,22727,70,1,PortScan
2.54,10,2,1485,238,1364.58,14.89,443,91.66,1,BENIGN
217.89,6,8,225,365,21.3,0.483,6667,85.28,1,Bot
1.989,7,3,1321,328,1259.43,13.9,443,141.65,1,BENIGN
2.962,12,8,672,509,441.07,6.42,443,61.45,2,BENIGN
2.853,12,12,1393,326,1281.08,10.35,443,65.59,0,BENIGN
2.069,7,5,1209,269,1482.9,15.49,443,141.91,0,BENIGN
1.299,7,3,692,1077,424.31,14.71,80,167.64,0,BENIGN
1.96,10,5,793,1112,1150.15,6.85,443,156.44,1,BENIGN
0.0327,1,0,62,0,13305.3,565.21,56886,68,1,PortScan
2.139,12,2,338,295,411.8,13.45,443,83.92,2,BENIGN
201.75,3,3,306,161,28.89,0.938,8080,136.6,0,Bot
0.292,3,3,1473,531,886.27,6.27,80,63.7,0,BENIGN
0.672,6,3,1286,299,1381.74,9.76,443,126.62,2,BENIGN
0.896,3,5,516,511,1188.02,14.91,443,70.2,0,BENIGN
0.711,6,2,498,1058,1208.8,13.76,443,174.37,2,BENIGN
2.241,4,8,911,311,1722.88,4.23,443,111.69,0,BENIGN
0.0472,1,0,58,0,17043.86,856.8,15174,71,1,PortScan
2.376,9,11,1128,940,809.6,16.71,443,69.82,1,BENIGN
0.683,9,11,446,1339,404.98,14.92,53,126.65,0,BENIGN
1.646,5,10,940,500,1473.11,18.63,53,95.77,2,BENIGN
0.455,4,8,755,1039,1980.01,14.68,443,174.38,1,BENIGN
1.987,12,6,1023,741,1944.13,4.9,53,167.12,2,BENIGN
0.062,152,0,21744,38,196503.87,2392.46,443,996.21,6,DDoS
296.4,3,4,372,181,9.51,0.116,6667,119.83,1,Bot
2.876,5,11,830,634,965.66,13.37,53,169.29,0,BENIGN
1.41,9,10,1005,1237,823.23,7.44,443,101.12,2,BENIGN
0.243,6,5,615,526,1568.46,9.23,443,99.43,0,BENIGN
2.967,7,3,651,409,685.64,7.15,443,117.92,2,BENIGN
0.0091,1,0,80,0,16268.95,543.2,64954,75,1,PortScan
178.18,3,8,270,204,36.35,0.664,8080,80.33,0,Bot
2.945,12,7,519,1323,1232.09,4.34,80,123.19,0,BENIGN
2.553,9,12,904,373,1718.9,5.92,443,153.88,0,BENIGN
1.538,4,8,880,377,1661.4,19.55,443,115.58,2,BENIGN
1.223,9,10,1244,283,369.11,6.08,443,153.32,2,BENIGN
0.594,7,8,847,447,1728.39,4.03,443,160.69,0,BENIGN
0.414,10,9,750,992,656.72,19.13,443,68.95,0,BENIGN
0.076,89,1,72754,405,237082.6,3242.81,80,1102.15,20,DDoS
0.313,6,5,444,303,622.27,19.57,53,83.3,0,BENIGN
1.441,11,10,1441,1248,638.99,8.43,53,123.99,1,BENIGN
2.316,2,6,408,305,1718.95,8.57,443,89.92,1,BENIGN
0.196,125,3,22898,72,140024.75,3822.08,80,1189.13,16,DDoS
0.151,166,1,44091,200,229827.23,4697.11,443,1065.08,11,DDoS
0.071,174,3,31196,337,363954.75,1187.39,443,1325.33,4,DDoS
1.864,11,9,340,391,1905.96,11.59,80,67.28,2,BENIGN
0.171,166,4,46867,367,216507.43,572.48,443,926.03,16,DDoS
0.303,2,10,1328,588,1174.2,7.93,443,72.75,2,BENIGN
2.025,5,2,870,1037,1453.14,6.96,443,69.35,0,BENIGN
0.0062,1,0,53,0,7250.57,223.7,62211,80,1,PortScan
0.426,9,8,1325,769,1801.75,17.11,53,93.41,1,BENIGN
0.102,55,4,73653,265,286335.75,4685.89,80,1373.39,13,DDoS
1.972,5,3,1428,501,864.01,14.42,443,134.54,0,BENIGN
1.448,6,7,873,1320,850.01,4.55,443,86.14,0,BENIGN
1.242,4,9,1435,732,1617.5,14.64,80,72.69,2,BENIGN
0.801,3,8,1056,343,709.13,12.82,80,159.22,0,BENIGN
0.0292,1,0,58,0,6725.94,200.91,13241,58,1,PortScan
0.556,8,9,1402,1203,300.3,10.26,53,162.66,1,BENIGN
2.673,2,5,591,767,371.74,5.56,443,127.41,0,BENIGN
1.006,4,12,652,334,1716.16,13.77,443,79.05,2,BENIGN
2.851,4,4,460,256,556.96,18.48,443,133.39,2,BENIGN
1.499,2,6,599,328,1827.54,9.43,443,100.2,2,BENIGN
0.932,12,2,452,887,1815.17,18.8,443,145.4,1,BENIGN
0.203,8,3,1172,771,1154.7,7.22,53,153.15,0,BENIGN
2.82,9,2,838,975,1726.52,19.76,443,80.31,0,BENIGN
0.626,9,8,280,358,1599.77,13.17,443,100.81,1,BENIGN
0.204,4,5,1366,276,1397.36,8.86,443,135.18,2,BENIGN
1.947,10,3,431,668,1951.88,5.68,443,92.63,0,BENIGN
219.11,4,6,192,288,25.99,0.761,443,138.85,1,Bot
0.94,3,4,1018,1401,370.83,4.36,443,135.56,0,BENIGN
1.023,11,6,963,720,1554.71,7.19,443,82.29,0,BENIGN
253.22,5,5,361,276,19.13,0.553,8080,141.11,1,Bot
1.982,11,5,690,1020,1557.78,7.63,53,119.13,2,BENIGN
2.502,8,3,300,1169,632.72,12.66,443,83.16,1,BENIGN
1.947,9,4,475,228,1892.2,7.9,443,114.1,0,BENIGN
1.042,10,12,1007,445,584.47,6.59,443,120.07,1,BENIGN
0.026,194,2,38402,271,340964.8,3349.23,80,1088.76,9,DDoS
2.831,12,12,949,492,730.28,6.2,443,86.35,0,BENIGN
1.668,8,6,892,327,1146.85,13.19,443,75.1,2,BENIGN
1.195,11,3,1211,320,670.95,8.6,443,107.75,1,BENIGN
0.957,4,8,729,1031,553.93,18.71,53,119.35,1,BENIGN
1.491,4,4,230,305,1237.63,14.25,443,70.68,2,BENIGN
1.738,3,2,1041,1123,1345.35,6.22,443,118.27,2,BENIGN
1.421,7,5,964,1076,1803.25,16.99,443,169.61,2,BENIGN
0.219,6,10,338,620,1142.68,7.21,443,87.7,0,BENIGN
1.107,4,8,298,348,1696.17,5.51,53,66.96,2,BENIGN
0.455,5,7,729,1366,643.64,4.32,443,105.94,2,BENIGN
0.158,149,3,33943,19,137928.09,1480.47,80,923.06,6,DDoS
0.235,2,9,750,403,1476.71,14.81,443,145.06,1,BENIGN
0.0484,1,0,77,0,9554.97,782.29,17078,76,1,PortScan
242.37,7,8,216,370,15.57,0.48,8080,81.43,0,Bot
1.367,11,12,681,1302,1739.88,14.63,80,153.57,1,BENIGN
1.223,9,9,1007,250,570.41,19.2,443,108.65,2,BENIGN
2.796,10,4,498,912,781.6,12.34,80,73.06,1,BENIGN
0.0383,1,0,43,0,4069.79,543.58,32210,51,1,PortScan
199.24,8,8,302,374,28.83,0.291,6667,124.35,0,Bot
0.106,118,2,40262,370,104595.0,1614.11,443,1023.47,14,DDoS
1.199,3,7,239,892,1241.89,11.05,80,106.12,2,BENIGN
228.06,4,3,243,348,31.15,0.725,443,131.08,0,Bot
31.68,4,6,305,346,28.03,0.81,6667,122.82,0,Bot
0.099,125,4,36405,399,341810.57,2096.36,80,620.91,15,DDoS
241.74,3,6,335,291,36.0,0.591,443,107.89,0,Bot
0.0294,1,0,48,0,9344.86,649.89,45651,55,1,PortScan
167.87,6,4,158,204,30.14,0.663,8080,86.61,1,Bot
1.741,9,7,1121,1075,537.31,7.08,80,80.96,2,BENIGN
1.682,5,3,755,708,953.75,14.33,443,174.47,0,BENIGN
0.368,8,9,843,431,1995.8,18.91,443,82.88,2,BENIGN
0.0387,1,0,78,0,12059.8,795.96,40520,41,1,PortScan
0.556,9,8,903,777,806.21,15.82,443,108.75,0,BENIGN
1.503,9,11,1138,567,1677.9,10.41,80,75.41,1,BENIGN
0.629,11,5,868,332,973.32,19.88,53,123.16,2,BENIGN
2.128,3,6,1297,1489,1756.22,15.81,443,91.77,1,BENIGN
2.287,7,8,1052,237,1769.22,19.95,443,137.34,1,BENIGN
0.041,133,1,53906,499,384238.97,4977.16,80,1454.86,6,DDoS
0.45,2,4,1071,348,757.17,4.27,80,156.2,0,BENIGN
0.143,200,5,75201,433,129997.62,3749.99,80,1115.52,6,DDoS
0.5,9,8,714,1080,1685.16,6.12,443,81.95,2,BENIGN
1.373,4,2,924,1138,1426.21,17.04,53,110.48,2,BENIGN
1.315,9,4,658,530,1500.75,19.91,443,100.69,0,BENIGN
293.25,8,6,352,180,16.58,0.385,8080,88.93,0,Bot
0.035,248,0,45319,240,274769.75,3743.17,80,723.76,16,DDoS
0.865,7,2,607,572,985.89,14.19,443,141.56,1,BENIGN
0.317,10,4,985,935,509.2,7.95,443,64.93,2,BENIGN
0.0355,1,0,74,0,13057.56,700.07,54253,45,1,PortScan
1.297,4,5,1035,332,1404.23,11.71,53,99.09,1,BENIGN
1.732,2,8,829,313,337.04,11.97,443,69.73,0,BENIGN
109.15,7,8,277,267,28.43,0.901,443,130.2,0,Bot
0.0159,1,0,67,0,18419.45,550.83,24859,80,1,PortScan
0.91,12,11,840,203,1570.1,7.55,443,133.93,1,BENIGN
1.903,5,3,741,449,1071.41,9.43,53,110.13,1,BENIGN
0.0396,1,0,80,0,9226.31,266.6,60851,65,1,PortScan
122.15,7,7,347,383,12.38,0.492,8080,97.61,0,Bot
57.37,4,3,257,348,8.52,0.937,443,105.82,0,Bot
0.203,10,6,1143,770,1930.2,14.31,443,117.04,0,BENIGN
2.464,12,9,275,409,307.64,18.13,443,160.87,1,BENIGN
2.617,6,10,951,542,904.68,7.56,53,153.49,1,BENIGN
0.0334,1,0,60,0,6712.81,507.16,50688,56,1,PortScan
0.141,159,5,44364,246,50943.27,3748.05,443,729.57,12,DDoS
0.096,130,2,32827,458,196853.14,4020.7,80,600.07,16,DDoS
1.011,4,10,441,1369,824.42,17.06,443,72.37,2,BENIGN
1.304,9,12,1020,327,624.04,19.75,443,79.48,1,BENIGN
