dur,spkts,dpkts,sbytes,dbytes,rate,pkt_rate,dport,smean,synack,label
0.165,177,1,21860,472,302447.16,3817.4,80,897.86,12,DDoS
0.041,187,0,86425,131,178414.72,1389.71,443,966.35,7,DDoS
0.705,9,10,496,1099,1780.23,8.26,443,89.61,0,BENIGN
0.156,80,0,48928,434,76997.89,4178.66,80,896.33,9,DDoS
1.177,2,3,786,287,1787.69,13.36,80,176.9,2,BENIGN
0.672,6,11,869,976,613.72,17.21,443,87.63,0,BENIGN
1.453,3,4,1385,961,1243.29,19.09,443,123.6,2,BENIGN
0.016,203,0,20172,176,118031.18,1184.97,443,360.07,13,DDoS
1.436,6,3,665,569,1946.5,7.25,80,86.55,1,BENIGN
2.037,6,7,1242,1061,1372.87,12.38,53,84.94,0,BENIGN
0.017,106,3,58211,102,298694.65,4111.08,443,787.21,17,DDoS
1.657,8,5,280,788,492.17,9.56,443,74.45,2,BENIGN
2.758,12,7,322,667,1259.14,10.56,443,173.39,2,BENIGN
0.159,293,0,74354,114,280608.1,1659.15,443,1123.1,7,DDoS
2.108,6,7,942,1242,1750.45,7.92,53,145.88,1,BENIGN
1.065,3,4,864,1111,1096.72,9.81,443,126.9,0,BENIGN
0.0085,1,0,69,0,6843.42,863.15,56086,42,1,PortScan
1.081,9,6,1056,1434,728.35,18.19,80,89.15,1,BENIGN
0.772,9,12,468,734,1313.12,11.05,443,124.16,1,BENIGN
1.833,3,11,566,823,1286.82,19.8,443,176.47,2,BENIGN
0.12,155,5,37297,212,252296.65,2087.92,443,1173.15,8,DDoS
0.001,1,0,56,0,4923.75,324.9,47067,74,1,PortScan
2.041,11,11,877,671,1559.84,8.13,443,151.6,2,BENIGN
0.188,229,3,74380,242,111680.95,792.93,443,889.52,19,DDoS
0.716,6,4,1092,1378,940.9,7.71,443,98.86,2,BENIGN
2.09,11,5,1046,833,977.62,15.39,80,155.13,0,BENIGN
2.483,10,8,546,517,1317.76,11.38,443,159.74,0,BENIGN
2.88,4,10,1077,205,604.27,14.97,443,135.98,2,BENIGN
0.951,2,5,297,1018,1061.46,18.29,443,163.69,2,BENIGN
2.494,9,7,1381,1159,959.4,9.66,80,100.26,1,BENIGN
2.357,4,5,1430,362,1709.25,18.23,443,151.35,0,BENIGN
0.947,3,11,329,914,625.81,13.98,80,66.56,1,BENIGN
0.691,10,11,744,1288,1174.37,6.3,443,109.33,0,BENIGN
1.323,10,11,515,585,1939.6,11.79,443,152.08,2,BENIGN
1.864,5,9,814,446,1502.62,10.82,80,134.54,0,BENIGN
1.399,3,9,853,558,768.98,8.12,80,151.02,2,BENIGN
2.26,11,11,364,1035,1455.14,16.81,443,163.62,2,BENIGN
0.0127,1,0,72,0,18820.54,378.27,40037,64,1,PortScan
0.0279,1,0,66,0,19717.78,811.85,47040,57,1,PortScan
0.959,6,7,543,733,1134.71,9.09,443,73.7,2,BENIGN
2.038,4,6,903,1286,1804.68,4.45,443,86.7,2,BENIGN
0.117,64,5,46192,364,167456.09,4383.49,443,1312.34,7,DDoS
0.658,12,5,1313,733,724.47,4.95,443,101.67,0,BENIGN
2.696,3,10,940,1224,1589.37,7.09,443,70.55,1,BENIGN
2.206,7,2,1398,680,642.34,14.04,80,64.54,2,BENIGN
1.677,7,8,1106,896,1475.75,15.82,443,121.04,2,BENIGN
2.176,3,5,752,1315,1719.51,6.04,443,116.05,0,BENIGN
0.153,52,5,50463,379,120085.68,2937.49,443,964.62,15,DDoS
0.084,58,2,69804,79,274274.13,1505.14,80,537.79,7,DDoS
0.028,275,1,35344,78,223645.09,2911.94,80,689.13,10,DDoS
2.679,8,11,790,761,713.78,5.41,53,94.46,1,BENIGN
1.135,2,5,1140,1446,377.15,6.33,443,92.72,1,BENIGN
1.776,3,4,964,1467,397.84,7.79,443,65.01,2,BENIGN
0.233,7,4,688,863,1246.31,11.86,443,165.4,0,BENIGN
2.075,4,11,712,1302,1995.36,16.18,443,173.85,0,BENIGN
0.58,2,12,1128,1029,1057.38,13.1,443,171.54,2,BENIGN
1.066,10,9,1345,769,914.3,12.47,443,75.82,0,BENIGN
0.0267,1,0,71,0,17742.26,341.18,27732,58,1,PortScan
2.749,9,4,745,708,616.29,17.31,443,64.4,2,BENIGN
1.101,7,3,785,1485,1342.7,15.69,443,138.37,0,BENIGN
1.743,7,6,690,318,370.13,13.07,443,168.62,0,BENIGN
1.987,4,11,666,1367,1146.42,12.33,443,140.42,2,BENIGN
1.446,12,7,813,473,1803.97,6.27,53,88.89,2,BENIGN
1.62,3,12,1255,409,1081.98,14.98,53,80.55,0,BENIGN
0.0265,1,0,68,0,14595.81,392.51,19039,68,1,PortScan
0.283,12,12,919,1044,342.95,15.26,443,89.81,1,BENIGN
2.723,8,9,634,863,1642.69,4.42,80,67.85,2,BENIGN
1.137,9,11,1018,726,1898.41,17.97,80,171.03,2,BENIGN
2.448,3,2,696,721,902.4,15.1,80,160.58,2,BENIGN
0.0183,1,0,64,0,17595.16,290.63,40538,52,1,PortScan
0.0368,1,0,57,0,15257.32,210.64,17630,44,1,PortScan
1.776,7,4,951,899,1666.99,15.78,80,159.08,0,BENIGN
0.369,7,12,861,1186,1156.35,18.31,443,179.6,0,BENIGN
0.0351,1,0,68,0,14154.17,711.48,11437,73,1,PortScan
2.017,8,11,891,557,397.66,10.63,80,70.46,2,BENIGN
1.343,2,10,911,886,778.99,14.23,443,70.84,1,BENIGN
0.2,259,0,39074,164,167017.57,2831.99,80,523.38,20,DDoS
1.186,12,3,572,796,495.89,18.6,443,145.51,0,BENIGN
1.192,3,10,661,516,1008.48,14.69,443,141.04,2,BENIGN
0.096,241,4,34804,403,106479.76,2269.68,80,340.47,19,DDoS
0.576,2,10,1227,619,1243.92,6.91,53,103.87,0,BENIGN
2.366,10,11,1095,1259,1703.65,15.63,443,106.74,1,BENIGN
1.936,2,12,878,1447,1419.34,13.04,443,174.34,1,BENIGN
2.452,7,8,1349,309,852.3,6.35,443,89.91,1,BENIGN
0.003,1,0,58,0,19516.54,501.68,39810,56,1,PortScan
2.019,5,10,715,1202,685.88,11.33,53,128.72,0,BENIGN
0.777,11,12,1487,593,1290.99,7.24,80,143.07,2,BENIGN
0.0188,1,0,53,0,12439.59,769.35,15640,51,1,PortScan
0.885,7,8,1380,325,795.62,5.72,443,113.57,0,BENIGN
0.11,124,3,65606,9,312629.1,2734.48,80,540.61,11,DDoS
0.162,186,1,39107,398,371250.33,1431.08,80,858.8,9,DDoS
0.71,4,6,250,428,558.28,18.6,443,169.39,0,BENIGN
2.728,4,10,259,918,1622.78,7.88,443,85.58,1,BENIGN
0.604,12,2,1105,1239,879.54,6.24,80,154.75,2,BENIGN
0.789,10,3,932,940,1019.49,12.62,53,163.91,0,BENIGN
2.402,12,9,314,406,546.16,16.08,443,141.23,1,BENIGN
1.685,10,4,242,698,1944.62,7.58,443,80.15,1,BENIGN
1.584,9,4,813,1434,1287.9,5.28,443,79.64,1,BENIGN
1.138,8,7,1025,334,1934.09,10.76,443,126.46,1,BENIGN
1.916,2,12,225,1385,848.8,15.45,443,93.05,0,BENIGN
1.831,2,9,311,1470,705.1,7.57,443,171.7,0,BENIGN
1.91,6,10,394,1173,756.76,14.09,443,109.56,0,BENIGN
0.747,3,10,862,1258,1082.81,19.54,443,176.92,2,BENIGN
1.673,11,8,859,213,1638.03,17.59,443,105.68,1,BENIGN
0.314,12,7,1127,221,1450.01,12.4,80,109.14,2,BENIGN
2.609,2,6,242,737,1505.75,7.87,443,84.38,1,BENIGN
2.644,11,3,977,1126,1477.49,8.61,443,95.15,1,BENIGN
0.175,286,5,37484,21,106050.45,2508.41,80,1349.66,13,DDoS
2.917,2,7,893,1020,708.64,9.36,443,161.16,2,BENIGN
2.975,5,5,399,999,792.03,18.34,80,159.88,1,BENIGN
2.491,12,11,1003,1174,1944.8,15.09,443,107.21,2,BENIGN
1.648,7,7,1281,643,829.14,6.09,53,65.24,0,BENIGN
0.588,2,2,1009,497,803.74,6.97,53,161.49,2,BENIGN
0.672,5,4,225,1158,1519.29,7.12,80,78.83,0,BENIGN
1.354,2,12,1357,1435,481.25,13.12,80,143.01,0,BENIGN
0.0398,1,0,64,0,9683.25,244.88,63959,73,1,PortScan
0.214,6,10,230,861,1868.91,7.4,443,164.13,0,BENIGN
0.078,219,0,63467,2,344803.62,4430.45,443,664.06,11,DDoS
1.428,12,4,536,975,802.76,11.09,53,141.03,2,BENIGN
2.132,2,7,1196,622,373.77,18.33,443,83.65,2,BENIGN
1.161,10,3,549,942,840.73,19.65,443,121.51,0,BENIGN
0.139,128,2,52574,443,183079.23,2462.47,443,665.96,7,DDoS
0.0085,1,0,56,0,10002.35,455.34,43451,73,1,PortScan
0.077,173,1,63195,380,177417.84,993.42,443,1270.81,20,DDoS
1.002,7,8,283,1037,671.05,13.14,443,161.2,2,BENIGN
0.831,8,8,1129,1496,379.5,19.68,80,64.12,2,BENIGN
2.595,10,8,493,780,422.39,4.88,443,166.87,0,BENIGN
0.0463,1,0,56,0,8196.45,788.72,56211,62,1,PortScan
0.901,2,2,397,599,744.41,17.4,53,115.67,0,BENIGN
0.174,203,4,31591,103,98897.78,1720.28,80,994.55,12,DDoS
1.239,11,2,929,1264,1884.6,19.5,80,74.49,2,BENIGN
0.049,102,0,43610,222,350343.33,1060.09,80,1335.16,5,DDoS
2.0,6,9,643,1366,1644.41,11.64,443,174.51,0,BENIGN
0.0141,1,0,60,0,5151.92,758.12,43532,54,1,PortScan
1.79,6,2,998,376,1480.93,16.42,443,98.52,2,BENIGN
0.646,7,5,1029,971,1369.88,13.29,443,174.11,2,BENIGN
0.445,4,7,976,582,312.97,18.12,443,127.38,0,BENIGN
0.0455,1,0,43,0,10493.11,590.96,44883,68,1,PortScan
0.0489,1,0,77,0,9957.7,665.92,21591,44,1,PortScan
2.29,4,2,1500,996,1479.58,13.55,53,123.07,1,BENIGN
1.908,11,5,991,612,1232.58,9.87,53,96.44,1,BENIGN
0.0383,1,0,66,0,16860.06,828.67,41615,40,1,PortScan
0.764,6,4,479,1196,1439.57,7.81,443,60.71,2,BENIGN
2.885,10,6,373,1155,1303.42,18.91,443,74.87,0,BENIGN
